seconds,roof,tank,inlet,solar,backup
4629,7,49,17,0,1
4639,7,49,17,0,1
4649,7,49,17,0,1
4659,7,49,17,0,1
4669,7,49,17,0,1
4679,7,49,17,0,1
4689,7,49,17,0,1
4699,7,49,17,0,1
4709,7,49,17,0,1
4719,7,49,17,0,1
4729,7,49,17,0,1
4739,7,50,17,0,1
4749,7,50,17,0,1
4759,7,50,17,0,1
4769,7,50,17,0,1
4779,7,50,17,0,1
4789,7,50,17,0,1
4799,7,50,17,0,1
4809,7,50,17,0,1
4819,7,50,17,0,1
4829,7,50,17,0,1
4839,7,50,17,0,1
4849,7,50,17,0,1
4859,7,50,17,0,1
4869,7,50,17,0,1
4879,7,50,17,0,1
4889,7,50,17,0,1
4899,7,50,17,0,1
4909,7,50,17,0,1
4919,7,50,17,0,1
4929,7,50,17,0,1
4939,7,50,17,0,1
4949,7,50,17,0,1
4959,7,50,17,0,1
4969,7,50,17,0,1
4979,7,50,17,0,1
4989,7,50,17,0,1
4999,7,51,17,0,1
5009,7,51,17,0,1
5019,7,51,17,0,1
5029,7,51,17,0,1
5039,7,51,17,0,1
5049,7,51,17,0,1
5059,7,51,17,0,1
5069,7,51,17,0,1
5079,7,51,17,0,1
5089,7,51,17,0,1
5099,7,51,17,0,1
5109,7,51,17,0,1
5119,7,51,17,0,1
5129,7,51,17,0,1
5139,7,51,17,0,1
5149,7,51,17,0,1
5159,7,51,17,0,1
5169,7,51,17,0,1
5179,7,51,17,0,1
5189,7,51,17,0,1
5199,7,51,17,0,1
5209,7,51,17,0,1
5219,7,51,17,0,1
5229,7,51,17,0,1
5239,7,51,17,0,1
5249,7,51,17,0,1
5259,7,51,17,0,1
5269,7,51,17,0,1
5279,7,51,17,0,1
5289,7,51,17,0,1
5299,7,52,17,0,1
5309,7,52,17,0,1
5319,7,52,17,0,1
5329,7,52,17,0,1
5339,7,52,17,0,1
5349,7,52,17,0,1
5359,7,52,17,0,1
5369,7,52,17,0,1
5379,7,52,17,0,1
5389,7,52,17,0,1
5399,7,52,17,0,1
5409,7,52,17,0,1
5419,7,52,17,0,1
5429,7,52,17,0,1
5439,7,52,17,0,1
5449,7,52,17,0,1
5459,7,52,17,0,1
5469,7,52,17,0,1
5479,7,52,17,0,1
5489,7,52,17,0,1
5499,7,53,17,0,1
5509,7,53,17,0,1
5519,7,53,17,0,1
5529,7,53,17,0,1
5539,7,53,17,0,1
5549,7,53,17,0,1
5559,7,53,17,0,1
5569,7,53,17,0,1
5579,7,53,17,0,1
5589,7,53,17,0,1
5599,7,53,17,0,1
5609,7,53,17,0,1
5619,7,53,17,0,1
5629,7,53,17,0,1
5639,7,53,17,0,1
5649,7,53,17,0,1
5659,7,53,17,0,1
5669,7,53,17,0,1
5679,7,53,17,0,1
5689,7,53,17,0,1
5699,7,53,17,0,1
5709,7,53,17,0,1
5719,7,53,17,0,1
5729,7,53,17,0,1
5739,7,53,17,0,1
5749,7,53,17,0,1
5759,7,53,17,0,1
5769,7,53,17,0,1
5779,7,54,17,0,1
5789,7,54,17,0,1
5799,7,54,17,0,1
5809,7,54,17,0,1
5819,7,54,17,0,1
5829,7,54,17,0,1
5839,7,54,17,0,1
5849,7,54,17,0,1
5859,7,54,17,0,1
5869,7,54,17,0,1
5879,7,54,17,0,1
5889,7,54,17,0,1
5899,7,54,17,0,1
5909,7,54,17,0,1
5919,7,54,17,0,1
5929,7,54,17,0,1
5939,7,54,17,0,1
5949,7,54,17,0,1
5959,7,54,17,0,1
5969,7,54,17,0,1
5979,7,54,17,0,1
5989,7,54,17,0,1
5999,7,54,17,0,1
6009,7,54,17,0,1
6019,7,54,17,0,1
6029,7,54,17,0,1
6039,7,54,17,0,1
6049,7,54,17,0,1
6059,7,54,17,0,1
6069,7,55,17,0,0
6079,7,54,17,0,0
6089,7,54,17,0,0
6099,7,54,17,0,0
6109,7,55,17,0,0
6119,7,55,17,0,0
6129,7,55,17,0,0
6139,7,55,17,0,0
6149,7,55,17,0,0
6159,7,55,17,0,0
6169,7,55,17,0,0
6179,7,55,17,0,0
6189,7,55,17,0,0
6199,7,55,17,0,0
6209,7,55,17,0,0
6219,7,55,17,0,0
6229,7,55,17,0,0
6239,7,55,17,0,0
6249,7,55,17,0,0
6259,7,55,17,0,0
6269,7,55,17,0,0
6279,7,55,17,0,0
6289,7,55,17,0,0
6299,7,55,17,0,0
6309,7,55,17,0,0
6319,7,55,17,0,0
6329,7,55,17,0,0
6339,7,55,17,0,0
6349,7,55,17,0,0
6359,7,55,17,0,0
6369,7,55,17,0,0
6379,7,55,17,0,0
6389,7,55,17,0,0
6399,7,55,17,0,0
6409,7,55,17,0,0
6419,7,55,17,0,0
6429,7,55,17,0,0
6439,7,55,17,0,0
6449,7,55,17,0,0
6459,7,54,17,0,0
6469,7,54,17,0,0
6479,7,54,17,0,0
6489,7,54,17,0,0
6499,7,54,17,0,0
6509,7,54,17,0,0
6519,7,54,17,0,0
6529,7,54,17,0,0
6539,7,54,17,0,0
6549,7,54,17,0,0
6559,7,54,17,0,0
6569,7,54,17,0,0
6579,7,54,17,0,0
6589,7,54,17,0,0
6599,7,54,17,0,0
6609,7,54,17,0,0
6619,7,54,17,0,0
6629,7,54,17,0,0
6639,7,54,17,0,0
6649,7,54,17,0,0
6659,7,54,17,0,0
6669,7,54,17,0,0
6679,7,54,17,0,0
6689,7,54,17,0,0
6699,7,54,17,0,0
6709,7,54,17,0,0
6719,7,54,17,0,0
6729,7,54,17,0,0
6739,7,54,17,0,0
6749,7,54,17,0,0
6759,7,54,17,0,0
6769,7,54,17,0,0
6779,7,54,17,0,0
6789,7,54,17,0,0
6799,7,54,17,0,0
6809,7,54,17,0,0
6819,7,54,17,0,0
6829,7,54,17,0,0
6839,7,54,17,0,0
6849,7,54,17,0,0
6859,7,54,17,0,0
6869,7,54,17,0,0
6879,7,54,17,0,0
6889,7,54,17,0,0
6899,7,54,17,0,0
6909,7,54,17,0,0
6919,7,54,17,0,0
6929,7,54,17,0,0
6939,7,54,17,0,0
6949,7,54,17,0,0
6959,7,54,17,0,0
6969,7,54,17,0,0
6979,7,54,17,0,0
6989,7,54,17,0,0
6999,7,54,17,0,0
7009,7,54,17,0,0
7019,7,54,17,0,0
7029,7,54,17,0,0
7039,7,54,17,0,0
7049,7,54,17,0,0
7059,7,54,17,0,0
7069,7,54,17,0,0
7079,7,54,17,0,0
7089,7,54,17,0,0
7099,7,54,17,0,0
7109,7,54,17,0,0
7119,7,54,17,0,0
7129,7,54,17,0,0
7139,7,54,17,0,0
7149,7,54,17,0,0
7159,7,54,17,0,0
7169,7,54,17,0,0
7179,7,54,17,0,0
7189,7,54,17,0,0
7199,7,54,17,0,0
7209,7,54,17,0,0
7219,7,54,17,0,0
7229,7,54,17,0,0
7239,7,54,17,0,0
7249,7,54,17,0,0
7259,7,54,17,0,0
7269,7,54,17,0,0
7279,7,54,17,0,0
7289,7,54,17,0,0
7299,7,54,17,0,0
7309,7,54,17,0,0
7319,7,54,17,0,0
7329,7,54,17,0,0
7339,7,54,17,0,0
7349,7,54,17,0,0
7359,7,54,17,0,0
7369,7,54,17,0,0
7379,7,54,17,0,0
7389,7,54,17,0,0
